(-1.0, 13)
(-1.0000000000000002, 26)
(-0.999999999999999, 27)
(-1.0, 28)
(-1.0000000000000004, 29)
(-1.0000000000000002, 30)
(-0.9999999999999982, 31)
(-1.000000000000002, 32)
(-0.9999999999999984, 33)
(-1.0000000000000007, 59)
(-0.9999999999999994, 60)
(-0.9999999999999974, 61)
(-0.9999999999999996, 62)
(-1.0000000000000002, 63)
(-1.000000000000004, 64)
(-1.0000000000000029, 65)
(-1.0, 69)
(-1.0, 70)
(-1.0000000000000042, 71)
(-1.0000000000000027, 72)
(-1.0000000000000044, 79)
(-1.000000000000001, 80)
(-0.999999999999999, 86)
(-1.0000000000000042, 90)
(-0.9999999999999946, 91)
(-1.0000000000000058, 92)
(-1.0000000000000004, 93)
(-0.9999999999999969, 94)
(-1.0000000000000038, 95)
(-0.9999999999999994, 96)
(-1.0000000000000013, 97)
(-1.0000000000000029, 98)
(-0.9999999999999988, 99)
(-0.9999999999999984, 100)
(-1.0000000000000018, 101)
(-0.9999999999999983, 102)
(-1.0000000000000002, 103)
(-0.9999999999999964, 104)
(-1.0000000000000075, 105)
(-0.9999999999999999, 106)
(-1.0000000000000029, 107)
(-1.0000000000000047, 108)
(-0.9999999999999969, 109)
(-0.9999999999999974, 113)
(-1.0000000000000002, 114)
(-0.9999999999999972, 115)
(-1.0000000000000007, 150)
(-1.000000000000002, 151)
(-0.9999999999999977, 230)
(0.9999999999999879, 286)
(-1.0000000000000426, 344)
(1.0000000000002662, 357)
(1.0000000000000127, 367)
(0.9999999999999998, 470)
(0.9999999999999974, 471)
(-0.9999999999999972, 484)
(0.9999999999999978, 550)
(0.9999999999999954, 551)
(1.0000000000000009, 552)
(1.0000000000000033, 553)
(1.0000000000000029, 555)
(1.000000000000004, 556)
(0.9999999999999979, 557)
(1.0000000000000049, 584)
(1.0, 585)
(1.0000000000000047, 586)
(1.0, 590)
(0.999999999999997, 591)
(0.9999999999999983, 592)
(1.000000000000001, 593)
(1.000000000000001, 594)
(1.0000000000000042, 595)
(0.9999999999999958, 596)
(1.0000000000000013, 597)
(0.9999999999999961, 598)
(1.000000000000004, 599)
(0.9999999999999998, 600)
(0.9999999999999961, 601)
(1.000000000000007, 602)
(1.000000000000006, 603)
(0.9999999999999972, 604)
(1.000000000000002, 605)
(0.9999999999999963, 606)
(1.0000000000000007, 607)
(0.9999999999999983, 608)
(1.0000000000000058, 609)
(1.0, 610)
(1.0000000000000029, 611)
(0.9999999999999983, 612)
(0.9999999999999905, 613)
(1.0000000000000029, 627)
(0.9999999999999959, 628)
(0.9999999999999932, 629)
(1.0000000000000033, 630)
(1.000000000000003, 634)
(0.9999999999999968, 635)
(1.0000000000000002, 636)
(1.0000000000000042, 637)
(1.0000000000000002, 638)
(1.0, 639)
(0.9999999999999977, 640)
(0.9999999999999972, 666)
(1.0000000000000009, 667)
(1.000000000000001, 668)
(1.000000000000003, 669)
(1.0, 670)
(0.9999999999999994, 671)
(0.9999999999999983, 672)
(1.0000000000000033, 673)
