(-0.31027070086669783,0.8090169943749481) (-0.2775145514257759,0.763932022500211) (-0.22451398828979255,0.9270509831248427) (-0.13875727571288782,0.8090169943749476) (-0.17151342515380996,0.7639320225002106) stop stop stop 
(-0.22451398828979283,0.8368810393753684) (-0.3102707008666976,0.8991869381244224) (-0.13875727571288723,0.954915028125263) (-0.1387572757128874,0.8991869381244217) stop stop stop stop 
(-0.3632712640026804,0.7360679774997899) (-0.4490279765795854,0.8541019662496856) (-0.3102707008666976,0.8991869381244224) stop stop stop stop stop 
(-0.4490279765795854,0.7639320225002105) (-0.36327126400268056,0.8262379212492648) stop stop stop stop stop stop 
(-0.4490279765795854,0.7639320225002105) stop stop stop stop stop stop stop 
(-0.31027070086669783,0.8090169943749481) (-0.22451398828979255,0.9270509831248427) (-0.36327126400268056,0.8262379212492648) stop stop stop stop stop 
(-0.22451398828979255,0.9270509831248427) (-0.05300056313598245,0.9270509831248421) stop stop stop stop stop stop 
(-0.22451398828979255,0.9270509831248427) (-0.13875727571288782,0.8090169943749476) (-0.05300056313598245,0.9270509831248421) stop stop stop stop stop 
(-0.22451398828979283,0.8368810393753684) (-0.1387572757128874,0.8991869381244217) (-0.08575671257690422,0.7360679774997897) (-0.05300056313598199,0.8368810393753678) stop stop stop stop 
(-0.13875727571288723,0.954915028125263) (-0.1387572757128874,0.8991869381244217) (6.938893903907228e-16,0.9999999999999997) (-0.05300056313598199,0.8368810393753678) (9.159339953157541e-16,0.8541019662496844) stop stop stop 
(-0.05300056313598245,0.9270509831248421) (0.05300056313598276,0.9270509831248429) stop stop stop stop stop stop 
(-0.22451398828979274,0.6909830056250524) (-0.22451398828979283,0.8368810393753684) (-0.08575671257690422,0.7360679774997897) stop stop stop stop stop 
(-0.2245139882897924,0.5450849718747371) (-0.2245139882897923,0.6008130618755784) (-0.1917578388488701,0.49999999999999994) (-0.08575671257690455,0.4999999999999998) (-0.13875727571288698,0.6631189606246319) (-0.0857567125769042,0.6458980337503153) (-0.053000563135982205,0.6008130618755783) stop 
(-0.3102707008666979,0.5729490168751576) (-0.13875727571288743,0.5729490168751576) (-0.2775145514257751,0.4721359549995795) stop stop stop stop stop 
(-0.22451398828979274,0.6909830056250524) (-0.3102707008666979,0.5729490168751576) (-0.13875727571288743,0.5729490168751576) stop stop stop stop stop 
