(0.9999999999999414, 39)
(0.9999999999999978, 90)
(1.0000000000000007, 91)
(0.9999999999999141, 92)
(1.0000000000000038, 93)
(0.9999999999999964, 94)
(1.0000000000000016, 97)
(1.0000000000000044, 98)
(0.9999999999999957, 99)
(1.000000000000005, 100)
(0.9999999999999993, 101)
(0.9999999999999967, 102)
(0.9999999999999989, 103)
(0.9999999999999998, 104)
(1.0, 105)
(0.9999999999999983, 106)
(1.0000000000000024, 107)
(1.0000000000000282, 145)
(0.9999999987524123, 146)
(1.0000000000000073, 147)
(0.9999999999999998, 148)
(-0.9999999999999958, 179)
(-1.0000000000000033, 180)
(-0.9999999999999952, 181)
(-0.9999999999999993, 189)
(-1.0000000000000062, 190)
(-1.000000000000004, 193)
(-1.0000000000000104, 198)
(0.9999999999999876, 219)
(1.0000000000000064, 220)
(0.9999999999999865, 221)
(1.0000000000000042, 233)
(0.9999999999999967, 234)
(1.0000000000000038, 235)
(-0.9999999999999897, 239)
(0.9999999999995598, 243)
(1.0000000000001767, 245)
(-0.9999999999999959, 248)
(-1.000000000000001, 249)
(-0.999999999999998, 250)
(-0.999999999999998, 260)
(0.9999999999999949, 267)
(1.0000000000000027, 269)
(0.9999999999999969, 270)
(1.0000000000000053, 271)
(0.9999999999999947, 272)
(0.9999999999999989, 278)
(0.9999999999999918, 279)
(1.000000000000002, 280)
(0.9999999999999982, 281)
(1.0000000000000022, 282)
(0.9999999999999961, 283)
(0.9999999999999954, 284)
(-1.000000000000006, 288)
(-1.0000000000000007, 289)
(-1.000000000000006, 303)
(-1.0000000000000107, 304)
(-0.999999999999998, 305)
(-0.999999999999997, 306)
(-1.000000000000002, 307)
(-0.9999999999999943, 308)
(-1.0000000000000042, 309)
(-0.9999999999999996, 310)
(-0.9999999999999977, 311)
(-1.0000000000000075, 312)
(-1.0000000000000064, 313)
(-0.9999999999999983, 322)
(-0.9999999999999923, 323)
(-0.9999999995900901, 337)
(1.0000000000000007, 338)
(1.000000000001047, 339)
(-0.9999999999995607, 348)
(-1.0000000000000033, 349)
(-0.9999999964722226, 350)
(1.000000000000004, 364)
(0.9999999999999957, 374)
(1.000000000000001, 375)
(0.999999999999997, 376)
(0.9999999999999921, 377)
(0.9999999999999979, 378)
(0.9999999999999994, 379)
(0.9999999999999936, 380)
(1.0000000000000138, 381)
(0.9999999999999959, 382)
(1.0, 383)
(1.000000000000006, 384)
(0.9999999999999928, 385)
(-1.0000000000000073, 404)
(-1.000000000000009, 407)
(-1.0000000000000049, 408)
(-1.0000000000000053, 409)
(-0.9999999999999963, 415)
(-0.9999999999999953, 416)
(-0.9999999999999926, 417)
(-1.0000000000000044, 418)
(0.9999999999999964, 441)
(-0.9999999999999994, 443)
(-0.9999999999996747, 444)
(1.0000000000000022, 448)
(-0.9999999999999881, 452)
(-0.9999999999999953, 453)
(-1.0000000000000047, 455)
(-0.9999999999980952, 456)
(0.9999999999999969, 494)
(1.0000000000000089, 497)
(0.9999999999999953, 498)
(1.0000000000000062, 507)
(0.9999999999999941, 508)
(1.0000000000000064, 509)
(1.0000000000000033, 510)
(-0.9999999999999974, 537)
(-0.999999999999993, 540)
(-1.0000000000000229, 542)
(-0.9999999999783106, 543)
(0.9999999999999963, 562)
(-1.0000000000000049, 581)
(-0.9999999999999999, 582)
(-1.0000000000000007, 584)
(-1.0, 585)
(-0.9999999999999989, 586)
(-1.0000000000000007, 587)
(-1.0000000000000024, 588)
(-1.0000000000000058, 589)
(-0.9999999999999988, 590)
(-0.9999999999999964, 594)
(-1.0000000000000018, 596)
(-0.9999999999999856, 598)
(-0.9999999999999927, 621)
(1.0000000000000018, 623)
(1.000000000000006, 655)
(1.0000000000000013, 656)
(1.000000000000002, 657)
